,title,cleaned
2695,Seven Sundays,"The Bonifacio siblings reunite when they find out their father is diagnosed with cancer. In the process, they have to deal with unresolved issues among themselves before it's too late."
2696,Seventeen,"To find his therapy dog, a 17-year-old escapes from juvie and embarks on a journey of reconnection with his brother and grandmother through Cantabria."
2697,Sex and the City 2,"Carrie, Charlotte, and Miranda are all married now, but they're still up for a little fun in the sun. When Samantha gets the chance to visit one of the most extravagant vacation destinations on the planet and offers to bring them all along, they surmise that a women-only retreat may be the perfect excuse to eschew their responsibilities and remember what life was like before they decided to settle down."
2698,Sex Doll,"Set in London's world of high class call girls, Amoureux Solitaires tells the story of London based French escort Virginie, and Rupert, a man who rescues trafficked girls."
2699,Sextuplets,An expecting father-to-be discovers he has many other siblings and tries to track them down before his baby is born.
2700,Shabd,"Shaukat, a writer suffering from writer's block, prompts his wife to have an affair with a stranger as he seeks inspiration to write a new story. Will his wife help him write his dream novel?"
2701,Shadow,"In a kingdom ruled by a young and unpredictable king, the military commander has a secret weapon: a shadow, a look-alike who can fool both his enemies and the King himself. Now he must use this weapon in an intricate plan that will lead his people to victory in a war that the King does not want."
2702,Shanghai Fortress,"Set in the future, the city of Shanghai battle to defend itself against an ongoing attack by an alien force that has attacked and laid siege to numerous cities around the globe in it's quest to harvest a hidden energy only found on earth."
2703,Shantet Hamza,A professional con man (Hamada Hilal) falls in love with a powerful woman who used to work for a well-known roguery gang.
2704,Shark Busters,"TC Lee, a senior policeman whose mounting debts are making headlines in the local press. Lee's not the only person in trouble at his police station, where a handful of colleagues are paying off the bank or worse, are becoming locked into repayments to gangland debt collectors. When Lee and his colleagues become caught in the loan sharks' spiraling interest charges and organized pressure tactics, they become vigilantes and fight back."
2705,Shark Night 3D,A weekend at a lake house in the Louisiana Gulf turns into a nightmare for seven vacationers as they are subjected to fresh-water shark attacks.
2706,She Did That,"""She Did That” is the first full-length documentary focusing the lens on Black women building brands and legacies. The film explores the passionate pursuits of Black women and their entrepreneurship journeys."
2707,Shéhérazade,"Zachary, 17 years old, gets out of jail. Rejected by his mother, he hangs out in the mean streets of Marseille. This is where he meets Shéhérazade."
2708,Shelby American,"Carroll Shelby came from humble beginnings working as a chicken farmer in rural Texas. He exploded into the auto-racing scene by beating all the top-tier drivers of the era and winning the 24 Hours of Le Mans in 1959. All while still wearing his chicken-overalls.  Carroll had a heart condition that nearly killed him, forcing him to retire from racing. He started Shelby American and assembled a rag-tag team of hot-rodders to execute his vision of building groundbreaking sports cars like the Shelby Cobra. He also led Ford and the GT40 to multiple victories at Le Mans over Ferrari.  Shelby’s cars, driven by the greatest drivers in the history of racing, cemented his legacy. He is the only man in history to win Le Mans as both a driver and a manufacturer. And is still the only American auto-manufacturer to win the World Manufacturing Championship."
2709,She Made Me a Criminal,"The movie is about a very naive young man (Ahmad Helmi), who wants to fix his house before it falls, but does not have the money, and rich girl who likes to spend money uncontrollably (Ghada Adel), whose father is scrooge (Hassan Hosni), who would not give her access to her trust fund. In order to force her father to give her money, she stages a kidnapping with the assistance of her best friend (Reham Abdul Ghafoor) and the naive young man, who ends up falling in love with her."
2710,Shepherds and Butchers,A lawyer takes on a case of a prison guard in South Africa who is traumatized by the executions he's witnessed.
2711,She's Dating the Gangster,"She’s Dating the Gangster tells the heart-wrenching tale of 17-year-old Athena Dizon and campus bad boy Kenji de los Reyes, two teenagers who begin a pretend relationship that ultimately transforms into something deeper."
2712,She's Gotta Have It,"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner."
2713,Shikari,"When Shankar, who performs on the road with partner Chanchal and elephant Appu, falls for a Russian circus performer, jealousies and conflicts arise."
2714,Shimla Mirchi,"While on holiday, Avi meets Naina and falls in love with her. Smitten, he decides to stay and work in her cafe. He confesses his love in a letter, however it's Naina's mother who mistakenly reads it."
2715,Shimmer Lake,An inventive crime thriller told backwards -- reversing day by day through a week -- following a local sheriff's quest to unlock the mystery of three small town criminals and a bank heist gone wrong.
2716,Shirkers,"In 1992, teenager Sandi Tan shot Singapore's first indie road movie with her enigmatic American mentor Georges – who then vanished with all the footage. Twenty years later, the 16mm film is recovered, sending Tan, now a novelist in Los Angeles, on a personal odyssey in search of Georges' vanishing footprints."
2717,Shiva,"Shiva is disgusted by the corruption in and around his new college, and along with his friends, he decides to take a stand against the status quo, in director Ram Gopal Varma's remake of his blockbuster 1989 Telugu movie of the same name."
